echo sha,contributor,date,message
590d9f336,x-AValad,Thu May 23 11:56:02 2024 +0200,Debug List Viterbi
a1f159b92,x-AValad,Thu May 23 11:16:00 2024 +0200,Update doc for List Viterbi
3853010c4,x-AValad,Thu May 23 11:05:46 2024 +0200,Added basis for Viterbi List integration
50423f257,x-AValad,Thu May 23 10:09:55 2024 +0200,Rename Viterbi decoder and move hxx to cpp
d94a00f1e,x-AValad,Thu May 23 09:41:43 2024 +0200,Update refs
d99cc3fae,x-AValad,Thu May 23 09:25:06 2024 +0200,add Viterbi documentation
059f6de26,x-AValad,Thu May 23 09:24:46 2024 +0200,add Viterbi article reference
a4faffd77,x-AValad,Thu May 23 09:14:05 2024 +0200,Remove inappropriate max
776db1e50,x-AValad,Thu May 23 09:13:46 2024 +0200,Add missing include
dc691d77c,Adrien Cassagne,Tue May 21 10:46:40 2024 +0200,Add StreamPU submodule.
a3762eda3,Adrien Cassagne,Tue May 21 10:44:52 2024 +0200,Remove AFF3CT-core submodule.
8fc3f45d9,Adrien Cassagne,Sun Mar 31 19:27:15 2024 +0200,Up. AFF3CT-core.
119496f15,Adrien Cassagne,Sat Mar 30 10:27:04 2024 +0100,Up. AFF3CT-core.
0c8b12af5,Adrien Cassagne,Sun Mar 17 21:10:00 2024 +0100,Remove static 'tools::Terminal' code.
24037833a,Adrien Cassagne,Wed Mar 6 15:49:11 2024 +0100,Update AFF3CT-core.
5ea5a332a,Adrien Cassagne,Wed Mar 6 09:31:22 2024 +0100,Fix compilation error.
1e6310999,Adrien Cassagne,Wed Mar 6 00:40:51 2024 +0100,Fix and remove previous hugly hack on the doc checker.
bb15dfa3d,Adrien Cassagne,Wed Mar 6 00:32:23 2024 +0100,Update AFF3CT-core.
6d82561ff,Adrien Cassagne,Wed Mar 6 00:26:47 2024 +0100,Hugly hack to pass the check doc test.
681d24f53,Adrien Cassagne,Wed Mar 6 00:20:29 2024 +0100,Disable stack trace for all the win builds.
4b46b15af,Adrien Cassagne,Tue Mar 5 19:52:20 2024 +0100,CI: Disable stacktrace on MSVC.
842f5bd19,Adrien Cassagne,Tue Mar 5 19:10:08 2024 +0100,CMake: Set 'CPPTRACE_TARGETS' correctly.
91e6bf886,Adrien Cassagne,Tue Mar 5 18:13:24 2024 +0100,Update AFF3CT-core.
b6631d988,Adrien Cassagne,Tue Mar 5 18:09:11 2024 +0100,Fix CMake export targets when the stacktrace is enabled.
8c49e9726,Adrien Cassagne,Tue Mar 5 17:19:37 2024 +0100,CI: Re-enable stacktrace for static build but disable it on MSVC.
