echo sha,contributor,date,message
aa3dbe3,Canohaaaaaaa,Wed Jul 19 11:46:10 2023 +0200,less init_recursive indent levels
3fae1f3,DrXeno,Wed Jul 19 11:27:20 2023 +0200,Svg figures update
965a38c,Canoha,Wed Jul 19 11:23:56 2023 +0200,for redo
e7b54f7,Canoha,Wed Jul 19 10:48:07 2023 +0200,switcher latex files
d6fbf2c,DrXeno,Wed Jul 19 10:18:23 2023 +0200,Theme changes
08d00e9,Canoha,Tue Jul 18 18:32:45 2023 +0200,correction
27566c8,Canoha,Tue Jul 18 17:44:34 2023 +0200,Switcher
899f9bf,Canoha,Tue Jul 18 17:44:24 2023 +0200,file renaming
729e2ef,DrXeno,Tue Jul 18 15:58:31 2023 +0200,Adding new images
7b23fc6,DrXeno,Tue Jul 18 14:42:34 2023 +0200,Figures support
6c16422,DrXeno,Tue Jul 18 10:20:57 2023 +0200,Add math support
9d61759,Canoha,Tue Jul 18 09:26:39 2023 +0200,config
eb5d977,DrXeno,Mon Jul 17 16:13:25 2023 +0200,Correction on pipline & socket, addition of Sequecne
a05b09c,DrXeno,Mon Jul 17 16:05:59 2023 +0200,Correction on pipline & socket, addition of Sequecne
7be1a11,DrXeno,Mon Jul 17 11:29:09 2023 +0200,Adding Adaptor and correction of socket
a31d12f,DrXeno,Mon Jul 17 11:23:36 2023 +0200,Adding Adaptor
007e735,DrXeno,Mon Jul 17 10:28:49 2023 +0200,Generic pipeline test
856bc33,Adrien Cassagne,Wed Jul 12 17:50:27 2023 +0200,Fix a bug in the sequence during duplication.
2fbd173,DrXeno,Wed Jul 12 16:15:56 2023 +0200,Correction des erreurs + pipeline
be4009a,DrXeno,Wed Jul 12 15:43:45 2023 +0200,Ajout test fwd inter-étage + début pipeline génerique
287d619,YacineIdouar,Wed Jul 12 15:36:36 2023 +0200,avancement sur les pipelines
694128d,Adrien Cassagne,Tue Jul 11 19:05:14 2023 +0200,Fix pipeline set n_frames when different tasks of a same module are in different stages.
1da2018,YacineIdouar,Tue Jul 11 12:30:24 2023 +0200,Ajout de support FWD pour le DOT
7ca09c3,YacineIdouar,Tue Jul 11 09:14:35 2023 +0200,Erreur coverage en local
7eea698,YacineIdouar,Mon Jul 10 16:26:35 2023 +0200,Version corrigée 3
6cf7b73,Canohaaaaaaa,Mon Jul 10 14:37:12 2023 +0200,fixed exclusive paths test
db1ba6a,Canohaaaaaaa,Mon Jul 10 14:36:25 2023 +0200,undetectable arg
