#"Mathlab (ref)"
#0.2|0|0|0|0|0.9713929741087743
#0.3039370078740158|0|0|0|0|0.8202538102816108
#0.39685039370078745|0|0|0|0|0.5816205117009904
#0.5007874015748033|0|0|0|0|0.2644146109566755
#0.6015748031496064|0|0|0|0|0.054365977587151754
#0.6960629921259844|0|0|0|0|0.008605799812371799
#0.8000000000000002|0|0|0|0|0.0011674193588234586


#"int-16 Cav."
#0.2|0|0|0|0|1.0000000000000000
#0.2913385826771654|0|0|0|0|0.9851798406115255
#0.3984251968503938|0|0|0|0|0.9165407734385878
#0.49921259842519694|0|0|0|0|0.7231479434041519
#0.5984251968503937|0|0|0|0|0.35171055613376373
#0.7007874015748033|0|0|0|0|0.10245207145589169
#0.7984251968503938|0|0|0|0|0.020859055853116443
#0.8992125984251971|0|0|0|0|0.0035686541932529485
#0.977952755905512|0|0|0|0|0.00105863660477404


"float (ref)"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   1.40 | 28712952 |      220 |      100 | 1.25e-09 | 3.48e-06 ||  3.5 |  95.5 |  1.1 |    8.85 |    2.95 |  8334.21 ||   323.72 | 00h27'14  
#  1.50 | 46828636 |      248 |      100 | 8.62e-10 | 2.14e-06 ||  3.7 |  95.2 |  1.1 |    8.77 |    2.92 |  8406.02 ||   321.38 | 00h44'45  
   1.60 | 84003792 |      226 |      100 | 4.38e-10 | 1.19e-06 ||  3.7 |  95.2 |  1.1 |    8.19 |    2.73 |  9004.96 ||   308.59 | 01h23'37
#  1.70 | 1.17e+08 |      213 |      100 | 2.95e-10 | 8.52e-07 ||  3.4 |  95.6 |  1.1 |    8.51 |    2.84 |  8665.98 ||   316.30 | 01h54'02
   1.80 | 2.17e+08 |      215 |      100 | 1.62e-10 | 4.62e-07 ||  3.6 |  95.3 |  1.1 |    8.61 |    2.87 |  8564.17 ||   318.26 | 03h29'04  
#  1.90 | 3.49e+08 |      210 |      100 | 9.79e-11 | 2.87e-07 ||  3.7 |  95.2 |  1.1 |    8.43 |    2.81 |  8750.44 ||   314.25 | 05h41'09  
   2.00 | 5.85e+08 |      219 |      100 | 6.09e-11 | 1.71e-07 ||  3.9 |  95.0 |  1.1 |    8.52 |    2.84 |  8654.82 ||   315.60 | 09h29'42


#"int-16 Q_{7,4}"
## ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
##   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
##  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
## ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   0.00 |      352 |   269110 |      352 | 1.24e-01 | 1.00e+00 ||  4.2 |  95.3 |  0.5 |   15.51 |    5.17 |  9508.91 ||   101.95 | 00h00'00  
##  0.10 |      328 |   202619 |      328 | 1.01e-01 | 1.00e+00 ||  4.5 |  94.9 |  0.6 |   20.37 |    6.79 |  7238.40 ||   245.24 | 00h00'00  
#   0.20 |      312 |   116022 |      301 | 6.05e-02 | 9.65e-01 ||  4.6 |  94.8 |  0.7 |   25.81 |    8.60 |  5713.54 ||   263.13 | 00h00'00  
##  0.30 |      280 |    45179 |      252 | 2.63e-02 | 9.00e-01 ||  4.5 |  94.9 |  0.7 |   26.52 |    8.84 |  5560.40 ||   214.44 | 00h00'00  
#   0.40 |      424 |    19022 |      245 | 7.30e-03 | 5.78e-01 ||  4.8 |  94.7 |  0.6 |   20.67 |    6.89 |  7134.45 ||   300.18 | 00h00'00  
##  0.50 |      552 |     5772 |      136 | 1.70e-03 | 2.46e-01 ||  4.4 |  94.9 |  0.7 |   27.42 |    9.14 |  5378.61 ||   339.33 | 00h00'00  
#   0.60 |     2424 |     1362 |      111 | 9.15e-05 | 4.58e-02 ||  4.8 |  94.6 |  0.6 |   16.94 |    5.65 |  8704.71 ||   388.71 | 00h00'00  
##  0.70 |    17248 |      709 |      103 | 6.69e-06 | 5.97e-03 ||  4.0 |  95.4 |  0.6 |   15.73 |    5.24 |  9376.97 ||   395.47 | 00h00'00  
#   0.80 |   175480 |      302 |      101 | 2.80e-07 | 5.76e-04 ||  4.0 |  95.3 |  0.7 |   16.54 |    5.51 |  8915.64 ||   416.82 | 00h00'07  
##  0.90 |   829192 |      234 |      100 | 4.59e-08 | 1.21e-04 ||  4.0 |  95.3 |  0.6 |   16.54 |    5.51 |  8912.77 ||   419.03 | 00h00'36  
#   1.00 |  1607280 |      221 |      100 | 2.24e-08 | 6.22e-05 ||  4.0 |  95.4 |  0.6 |   14.72 |    4.91 | 10017.92 ||   378.21 | 00h01'18  
##  1.10 |  4249624 |      238 |      100 | 9.12e-09 | 2.35e-05 ||  4.0 |  95.4 |  0.6 |   15.96 |    5.32 |  9239.61 ||   408.11 | 00h03'11  
#   1.20 |  7734936 |      217 |      100 | 4.57e-09 | 1.29e-05 ||  4.0 |  95.4 |  0.6 |   16.37 |    5.46 |  9005.02 ||   415.82 | 00h05'42  
##  1.30 | 15031904 |      234 |      100 | 2.53e-09 | 6.65e-06 ||  3.9 |  95.4 |  0.6 |   15.47 |    5.16 |  9529.12 ||   395.78 | 00h11'40  
#   1.40 | 32902928 |      217 |      100 | 1.07e-09 | 3.04e-06 ||  4.1 |  95.3 |  0.7 |   15.57 |    5.19 |  9472.87 ||   393.82 | 00h25'39  
##  1.50 | 49121872 |      203 |      100 | 6.73e-10 | 2.04e-06 ||  4.0 |  95.4 |  0.6 |   14.80 |    4.93 |  9963.90 ||   380.35 | 00h39'40  
#   1.60 | 72041136 |      220 |      100 | 4.97e-10 | 1.39e-06 ||  4.0 |  95.4 |  0.6 |   17.05 |    5.68 |  8650.40 ||   430.90 | 00h51'21
##  1.70 | 1.30e+08 |      203 |      100 | 2.54e-10 | 7.67e-07 ||  4.0 |  95.4 |  0.6 |   16.05 |    5.35 |  9186.55 ||   410.56 | 01h37'30
#   1.80 | 1.93e+08 |      217 |      100 | 1.83e-10 | 5.19e-07 ||  3.6 |  95.8 |  0.6 |   15.70 |    5.23 |  9390.89 ||   406.05 | 02h25'47  
##  1.90 | 3.44e+08 |      210 |      100 | 9.94e-11 | 2.91e-07 ||  3.9 |  95.5 |  0.6 |   14.80 |    4.93 |  9962.27 ||   379.20 | 04h38'27  
#   2.00 | 5.05e+08 |      202 |      100 | 6.52e-11 | 1.98e-07 ||  3.9 |  95.5 |  0.6 |   16.73 |    5.58 |  8814.06 ||   424.50 | 06h05'06 


"16-bit" "int-16 Q_{6,3}"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      352 |   280982 |      352 | 1.30e-01 | 1.00e+00 ||  4.2 |  95.2 |  0.5 |   15.51 |    5.17 |  9507.74 ||   100.09 | 00h00'00  
#  0.10 |      344 |   215066 |      344 | 1.02e-01 | 1.00e+00 ||  4.3 |  95.1 |  0.6 |   20.22 |    6.74 |  7291.55 ||   246.75 | 00h00'00  
   0.20 |      344 |   130873 |      335 | 6.19e-02 | 9.74e-01 ||  4.7 |  94.6 |  0.7 |   22.91 |    7.64 |  6435.71 ||   248.34 | 00h00'00  
#  0.30 |      320 |    62043 |      295 | 3.16e-02 | 9.22e-01 ||  4.4 |  95.0 |  0.6 |   23.75 |    7.92 |  6209.72 ||   239.04 | 00h00'00  
   0.40 |      368 |    22816 |      234 | 1.01e-02 | 6.36e-01 ||  4.6 |  94.8 |  0.6 |   22.92 |    7.64 |  6433.48 ||   254.17 | 00h00'00  
#  0.50 |      624 |     6579 |      166 | 1.72e-03 | 2.66e-01 ||  4.3 |  95.0 |  0.7 |   22.36 |    7.45 |  6593.41 ||   320.15 | 00h00'00  
   0.60 |     2120 |     2020 |      117 | 1.55e-04 | 5.52e-02 ||  4.1 |  95.3 |  0.6 |   19.21 |    6.40 |  7677.64 ||   413.16 | 00h00'00  
#  0.70 |    15960 |      539 |      100 | 5.50e-06 | 6.27e-03 ||  4.1 |  95.3 |  0.6 |   16.53 |    5.51 |  8922.68 ||   411.34 | 00h00'00  
   0.80 |   146552 |      345 |      100 | 3.83e-07 | 6.82e-04 ||  4.0 |  95.4 |  0.6 |   16.87 |    5.62 |  8742.43 ||   426.42 | 00h00'06  
#  0.90 |   620344 |      216 |      100 | 5.67e-08 | 1.61e-04 ||  4.0 |  95.4 |  0.6 |   16.80 |    5.60 |  8778.76 ||   425.59 | 00h00'26  
   1.00 |  1744624 |      223 |      100 | 2.08e-08 | 5.73e-05 ||  4.0 |  95.3 |  0.7 |   16.52 |    5.51 |  8926.33 ||   417.05 | 00h01'17  
#  1.10 |  3802808 |      233 |      100 | 9.97e-09 | 2.63e-05 ||  4.0 |  95.3 |  0.7 |   16.79 |    5.60 |  8782.79 ||   424.90 | 00h02'44  
   1.20 |  8057280 |      221 |      100 | 4.46e-09 | 1.24e-05 ||  4.1 |  95.3 |  0.7 |   16.55 |    5.52 |  8912.38 ||   418.24 | 00h05'55  
#  1.30 | 13829976 |      223 |      100 | 2.62e-09 | 7.23e-06 ||  4.0 |  95.3 |  0.6 |   16.50 |    5.50 |  8935.98 ||   418.93 | 00h10'08  
   1.40 | 24261656 |      196 |      100 | 1.31e-09 | 4.12e-06 ||  4.0 |  95.3 |  0.6 |   14.74 |    4.91 | 10004.66 ||   377.47 | 00h19'44  
#  1.50 | 42146480 |      219 |      100 | 8.46e-10 | 2.37e-06 ||  4.0 |  95.4 |  0.6 |   15.45 |    5.15 |  9546.48 ||   394.38 | 00h32'49  
   1.60 | 64305008 |      205 |      100 | 5.19e-10 | 1.56e-06 ||  4.0 |  95.3 |  0.7 |   15.19 |    5.06 |  9704.74 ||   385.75 | 00h51'12  
#  1.70 | 1.18e+08 |      203 |      100 | 2.80e-10 | 8.48e-07 ||  4.0 |  95.4 |  0.6 |   15.19 |    5.06 |  9709.76 ||   388.57 | 01h33'12  
   1.80 | 1.74e+08 |      206 |      100 | 1.93e-10 | 5.75e-07 ||  4.0 |  95.4 |  0.6 |   15.41 |    5.14 |  9568.55 ||   393.30 | 02h15'48  
#  1.90 | 3.37e+08 |      201 |      100 | 9.70e-11 | 2.97e-07 ||  4.0 |  95.3 |  0.6 |   16.21 |    5.40 |  9095.14 ||   411.47 | 04h11'44
   2.00 | 5.05e+08 |      202 |      100 | 6.52e-11 | 1.98e-07 ||  3.9 |  95.5 |  0.6 |   16.73 |    5.58 |  8814.06 ||   424.50 | 06h05'06 


#"int-16 Q_{4,2}"
## ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
##   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
##  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
## ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   0.00 |      280 |   272190 |      280 | 1.58e-01 | 1.00e+00 ||  4.5 |  94.6 |  0.9 |   28.12 |    9.37 |  5243.01 ||    67.96 | 00h00'00  
#   0.10 |      344 |   292922 |      344 | 1.39e-01 | 1.00e+00 ||  4.8 |  94.3 |  0.9 |   26.43 |    8.81 |  5578.75 ||   190.21 | 00h00'00  
#   0.20 |      344 |   244594 |      344 | 1.16e-01 | 1.00e+00 ||  5.6 |  93.7 |  0.7 |   18.92 |    6.31 |  7795.18 ||   170.63 | 00h00'00  
#   0.30 |      336 |   165930 |      334 | 8.04e-02 | 9.94e-01 ||  5.2 |  93.9 |  0.9 |   28.22 |    9.41 |  5225.77 ||   184.29 | 00h00'00  
#   0.40 |      352 |    99341 |      343 | 4.59e-02 | 9.74e-01 ||  5.4 |  93.8 |  0.8 |   25.75 |    8.58 |  5726.64 ||   180.83 | 00h00'00  
#   0.50 |      368 |    40017 |      301 | 1.77e-02 | 8.18e-01 ||  5.4 |  94.0 |  0.6 |   17.74 |    5.91 |  8310.11 ||   168.41 | 00h00'00  
#   0.60 |      472 |     8802 |      193 | 3.04e-03 | 4.09e-01 ||  5.5 |  93.7 |  0.8 |   22.46 |    7.49 |  6564.83 ||   223.49 | 00h00'00  
#   0.70 |     1072 |     2287 |      128 | 3.47e-04 | 1.19e-01 ||  4.4 |  94.8 |  0.8 |   24.49 |    8.16 |  6021.71 ||   271.71 | 00h00'00  
#   0.80 |     5056 |      905 |      105 | 2.91e-05 | 2.08e-02 ||  4.4 |  94.8 |  0.9 |   25.30 |    8.43 |  5828.31 ||   309.88 | 00h00'00  
#   0.90 |    51104 |      445 |      100 | 1.42e-06 | 1.96e-03 ||  4.2 |  95.0 |  0.9 |   24.22 |    8.07 |  6088.44 ||   317.72 | 00h00'02  
#   1.00 |   368184 |      230 |      100 | 1.02e-07 | 2.72e-04 ||  4.2 |  94.9 |  0.9 |   24.39 |    8.13 |  6044.79 ||   319.46 | 00h00'21  
#   1.10 |  1423136 |      214 |      100 | 2.45e-08 | 7.03e-05 ||  4.3 |  94.9 |  0.9 |   24.61 |    8.20 |  5992.59 ||   320.16 | 00h01'21  
#   1.20 |  2511168 |      216 |      100 | 1.40e-08 | 3.98e-05 ||  4.2 |  94.9 |  0.9 |   24.78 |    8.26 |  5950.41 ||   321.50 | 00h02'23  
#   1.30 |  6639608 |      215 |      100 | 5.27e-09 | 1.51e-05 ||  4.2 |  94.9 |  0.9 |   24.41 |    8.14 |  6040.20 ||   319.70 | 00h06'22  
#   1.40 |  9467616 |      216 |      100 | 3.71e-09 | 1.06e-05 ||  4.2 |  94.9 |  0.9 |   24.48 |    8.16 |  6024.61 ||   320.20 | 00h09'04  
#   1.50 | 19760696 |      205 |      100 | 1.69e-09 | 5.06e-06 ||  4.2 |  94.9 |  0.9 |   24.55 |    8.18 |  6006.46 ||   320.29 | 00h18'57  
#   1.60 | 30102216 |      211 |      100 | 1.14e-09 | 3.32e-06 ||  4.2 |  94.9 |  0.9 |   24.29 |    8.10 |  6069.80 ||   319.20 | 00h28'58  
#   1.70 | 62471208 |      208 |      100 | 5.42e-10 | 1.60e-06 ||  4.2 |  95.0 |  0.9 |   24.17 |    8.06 |  6100.64 ||   318.04 | 01h00'20  
#   1.80 | 99443304 |      234 |      100 | 3.83e-10 | 1.01e-06 ||  4.2 |  95.0 |  0.9 |   23.94 |    7.98 |  6159.87 ||   317.29 | 01h36'16  
#   1.90 | 1.61e+08 |      212 |      100 | 2.14e-10 | 6.21e-07 ||  4.1 |  95.0 |  0.9 |   24.19 |    8.06 |  6095.15 ||   318.73 | 02h35'14  
#   2.00 | 2.55e+08 |      210 |      100 | 1.34e-10 | 3.92e-07 ||  4.2 |  95.0 |  0.9 |   24.21 |    8.07 |  6089.63 ||   319.15 | 04h05'49


"8-bit" "int-8 Q_{6,2}"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      608 |   498383 |      608 | 1.33e-01 | 1.00e+00 || 12.4 |  84.3 |  3.3 |   31.72 |   10.57 |  9298.62 ||   156.78 | 00h00'00  
#  0.10 |      576 |   391896 |      576 | 1.11e-01 | 1.00e+00 || 14.1 |  82.3 |  3.6 |   40.92 |   13.64 |  7207.42 ||   345.13 | 00h00'00  
   0.20 |      432 |   205636 |      432 | 7.75e-02 | 1.00e+00 || 15.5 |  80.2 |  4.3 |   53.50 |   17.83 |  5512.83 ||   327.50 | 00h00'00  
#  0.30 |      592 |   168209 |      584 | 4.62e-02 | 9.86e-01 || 13.6 |  82.9 |  3.5 |   38.26 |   12.75 |  7707.76 ||   357.71 | 00h00'00  
   0.40 |      576 |    77128 |      521 | 2.18e-02 | 9.05e-01 || 14.3 |  82.0 |  3.7 |   37.79 |   12.60 |  7804.63 ||   359.78 | 00h00'00  
#  0.50 |      656 |    23740 |      418 | 5.89e-03 | 6.37e-01 || 16.9 |  79.3 |  3.8 |   37.36 |   12.45 |  7893.81 ||   371.53 | 00h00'00  
   0.60 |      848 |     5783 |      242 | 1.11e-03 | 2.85e-01 || 14.9 |  81.1 |  4.0 |   40.09 |   13.36 |  7356.61 ||   431.65 | 00h00'00  
#  0.70 |     1936 |     1102 |      142 | 9.26e-05 | 7.33e-02 || 14.9 |  81.3 |  3.8 |   35.73 |   11.91 |  8253.91 ||   526.31 | 00h00'00  
   0.80 |    11056 |      443 |      107 | 6.52e-06 | 9.68e-03 || 15.6 |  80.1 |  4.3 |   37.38 |   12.46 |  7890.57 ||   654.46 | 00h00'00  
#  0.90 |    80240 |      230 |      100 | 4.67e-07 | 1.25e-03 || 15.2 |  80.5 |  4.3 |   37.03 |   12.34 |  7964.00 ||   682.07 | 00h00'02  
   1.00 |   314256 |      190 |      101 | 9.84e-08 | 3.21e-04 || 16.1 |  79.4 |  4.5 |   38.57 |   12.86 |  7646.61 ||   703.25 | 00h00'08  
#  1.10 |  1137376 |      196 |      100 | 2.80e-08 | 8.79e-05 || 16.2 |  79.2 |  4.6 |   39.57 |   13.19 |  7452.44 ||   715.06 | 00h00'29  
   1.20 |  2273232 |      193 |      100 | 1.38e-08 | 4.40e-05 || 15.8 |  79.8 |  4.4 |   38.18 |   12.73 |  7724.90 ||   702.83 | 00h00'59  
#  1.30 |  4141792 |      203 |      100 | 7.98e-09 | 2.41e-05 || 16.2 |  79.3 |  4.5 |   39.15 |   13.05 |  7532.62 ||   714.09 | 00h01'46  
   1.40 |  9014432 |      192 |      100 | 3.47e-09 | 1.11e-05 || 16.2 |  79.2 |  4.6 |   39.66 |   13.22 |  7435.20 ||   718.23 | 00h03'51  
#  1.50 | 13630176 |      190 |      100 | 2.27e-09 | 7.34e-06 || 16.2 |  79.2 |  4.6 |   39.30 |   13.10 |  7503.26 ||   714.15 | 00h05'51  
   1.60 | 23728480 |      178 |      100 | 1.22e-09 | 4.21e-06 || 16.1 |  79.4 |  4.5 |   39.23 |   13.08 |  7518.09 ||   715.77 | 00h10'11  
#  1.70 | 41908272 |      181 |      100 | 7.03e-10 | 2.39e-06 || 16.0 |  79.5 |  4.5 |   38.97 |   12.99 |  7567.97 ||   714.36 | 00h18'01  
   1.80 | 81804304 |      185 |      100 | 3.68e-10 | 1.22e-06 || 16.3 |  79.1 |  4.6 |   39.38 |   13.13 |  7489.82 ||   710.70 | 00h35'21
#  1.90 | 1.04e+08 |      181 |      100 | 2.82e-10 | 9.57e-07 || 16.1 |  79.3 |  4.6 |   39.51 |   13.17 |  7464.63 ||   717.84 | 00h44'43
   2.00 | 2.04e+08 |      186 |      100 | 1.49e-10 | 4.91e-07 || 16.1 |  79.4 |  4.5 |   39.05 |   13.02 |  7551.87 ||   711.44 | 01h27'54


"int-8 Q_{4,2}"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      608 |   491210 |      608 | 1.31e-01 | 1.00e+00 || 11.4 |  85.4 |  3.2 |   28.15 |    9.38 | 10477.50 ||   136.39 | 00h00'00  
#  0.10 |      464 |   315513 |      464 | 1.11e-01 | 1.00e+00 || 15.2 |  80.7 |  4.1 |   48.26 |   16.09 |  6110.30 ||   373.04 | 00h00'00  
   0.20 |      528 |   252602 |      527 | 7.79e-02 | 9.98e-01 || 15.8 |  80.2 |  3.9 |   45.77 |   15.26 |  6443.89 ||   348.79 | 00h00'00  
#  0.30 |      560 |   174675 |      556 | 5.08e-02 | 9.93e-01 || 14.9 |  81.5 |  3.7 |   42.08 |   14.03 |  7009.08 ||   358.24 | 00h00'00  
   0.40 |      624 |    77000 |      552 | 2.01e-02 | 8.85e-01 || 14.3 |  81.9 |  3.8 |   38.21 |   12.74 |  7717.36 ||   330.72 | 00h00'00  
#  0.50 |      624 |    20859 |      389 | 5.44e-03 | 6.23e-01 || 14.8 |  81.0 |  4.2 |   41.99 |   14.00 |  7023.75 ||   382.20 | 00h00'00  
   0.60 |      848 |     4995 |      235 | 9.59e-04 | 2.77e-01 || 13.7 |  82.6 |  3.7 |   35.30 |   11.77 |  8354.20 ||   414.91 | 00h00'00  
#  0.70 |     2064 |     1216 |      138 | 9.59e-05 | 6.69e-02 || 15.3 |  80.8 |  3.9 |   36.39 |   12.13 |  8103.78 ||   485.42 | 00h00'00  
   0.80 |    10976 |      402 |      108 | 5.96e-06 | 9.84e-03 || 15.5 |  80.2 |  4.3 |   37.25 |   12.42 |  7916.44 ||   663.38 | 00h00'00  
#  0.90 |    76224 |      233 |      101 | 4.98e-07 | 1.33e-03 || 15.4 |  80.3 |  4.3 |   37.05 |   12.35 |  7959.33 ||   686.59 | 00h00'02  
   1.00 |   333056 |      176 |      100 | 8.60e-08 | 3.00e-04 || 15.9 |  79.7 |  4.5 |   38.35 |   12.78 |  7689.10 ||   707.34 | 00h00'08  
#  1.10 |   957024 |      198 |      100 | 3.37e-08 | 1.04e-04 || 16.0 |  79.4 |  4.6 |   39.27 |   13.09 |  7510.67 ||   717.50 | 00h00'24  
   1.20 |  1916336 |      180 |      100 | 1.53e-08 | 5.22e-05 || 16.0 |  79.5 |  4.5 |   39.20 |   13.07 |  7522.61 ||   719.63 | 00h00'49  
#  1.30 |  3412080 |      190 |      100 | 9.06e-09 | 2.93e-05 || 16.4 |  79.0 |  4.6 |   39.70 |   13.23 |  7428.50 ||   723.73 | 00h01'26  
   1.40 |  8362288 |      181 |      100 | 3.52e-09 | 1.20e-05 || 16.2 |  79.2 |  4.6 |   39.23 |   13.08 |  7518.28 ||   717.46 | 00h03'34  
#  1.50 | 13637968 |      188 |      100 | 2.24e-09 | 7.33e-06 || 15.8 |  79.7 |  4.5 |   38.53 |   12.84 |  7654.84 ||   709.72 | 00h05'54  
   1.60 | 23533472 |      188 |      100 | 1.30e-09 | 4.25e-06 || 16.2 |  79.3 |  4.6 |   39.35 |   13.12 |  7494.11 ||   717.44 | 00h10'04  
#  1.70 | 47066960 |      180 |      100 | 6.22e-10 | 2.12e-06 || 16.1 |  79.3 |  4.5 |   39.03 |   13.01 |  7555.70 ||   715.24 | 00h20'12  
   1.80 | 76633472 |      170 |      100 | 3.61e-10 | 1.30e-06 || 16.1 |  79.3 |  4.6 |   39.32 |   13.11 |  7500.57 ||   718.46 | 00h32'46  
